# classify_deontic.py started 2026-05-25T21:52:21.783207+00:00
======================================================================
Estonian Legal Ontology - Deontic Classification
======================================================================

[1/3] Found 16061 law files to process
  Clearing old deontic classification data from all files...
  Done clearing.
  [15600/16061] processed – 47860 classified so far
  [15700/16061] processed – 48207 classified so far
  [15800/16061] processed – 48969 classified so far
  [15900/16061] processed – 50317 classified so far
  [16000/16061] processed – 51535 classified so far
  [16061/16061] processed – 53158 classified so far

[2/3] Generating report...
  Saved: deontic_classification_report.json

[3/3] SUMMARY
======================================================================
  Provisions analysed:    208600
  Classified:             53158
  Duty holders extracted: 7555
  Files modified:         9364

    Obligation            22071
    Permission            19102
    Right                 8798
    Prohibition           3187
======================================================================
