# extract_institutional_competence.py started 2026-06-02T19:20:28.800287+00:00
======================================================================
Estonian Legal Ontology - Institutional Competence Extraction
======================================================================

  Found 16061 law files to process
  Loaded 113 canonical institution suffixes

[1/4] Processing law files (per-file idempotent)...
  WARN: truncating Finantsinspektsioonilt / general appliesToProvision from 655 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Finantsinspektsioonilt / supervision appliesToProvision from 185 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Haridus- ja Teadusministeeriumi / enforcement appliesToProvision from 545 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Haridus- ja Teadusministeeriumi / general appliesToProvision from 470 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating haridusametile / enforcement appliesToProvision from 270 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating haridusametile / general appliesToProvision from 909 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating haridusametile / regulation appliesToProvision from 129 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Justiits- ja Digiministeerium / general appliesToProvision from 232 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Justiitsministeerium / general appliesToProvision from 153 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Justiitsministri / general appliesToProvision from 138 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kaitseministeerium / general appliesToProvision from 169 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating kaitseministril / general appliesToProvision from 58 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kaitsepolitseiameti / general appliesToProvision from 151 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Keskkonnainspektsioon / enforcement appliesToProvision from 70 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Keskkonnainspektsioon / general appliesToProvision from 837 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Keskkonnainspektsioon / supervision appliesToProvision from 149 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Keskkonnaministeerium / general appliesToProvision from 67 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating keskkonnaministri / general appliesToProvision from 465 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kliimaministeerium / general appliesToProvision from 245 → 50; full count surfaced as estleg:appliesToProvisionCount
