# extract_sanctions.py started 2026-05-25T21:58:24.796120+00:00
======================================================================
Estonian Legal Ontology - Sanctions Extraction
======================================================================

[1/4] Processing law files (per-file idempotent)...
  [14900/16061] processed – 2075 sanctions found
  [15000/16061] processed – 2075 sanctions found
  [15100/16061] processed – 2075 sanctions found
  [15200/16061] processed – 2075 sanctions found
  [15300/16061] processed – 2076 sanctions found
  [15400/16061] processed – 2076 sanctions found
  [15500/16061] processed – 2076 sanctions found
  [15600/16061] processed – 2076 sanctions found
  [15700/16061] processed – 2077 sanctions found
  [15800/16061] processed – 2149 sanctions found
  [15900/16061] processed – 2330 sanctions found
  [16000/16061] processed – 2479 sanctions found
  [16061/16061] processed – 2589 sanctions found

[2/4] Generating sanction files (291 laws with sanctions)...

[3/4] Generating report...
  Saved: sanctions_report.json

[4/4] SUMMARY
======================================================================
  Provisions analysed:       208600
  With sanctions:            1751
  Total sanction records:    2589
  Laws with sanctions:       291

  By sanction type:
    fine                       1558
    imprisonment               402
    pecuniary_punishment       297
    coercive_payment           191
    arrest                     141

  Penalty normalisation (issue #133):
    structured (amount+unit):  2441
    penalty_unparsed:          16

  Top 5 laws by severity:
    karistusseadustik_osa2                         severity=5  count=729
    karistusseadustik_osa1                         severity=5  count=13
    karistusregistri_seadus                        severity=5  count=2
    eesti_vabariigi_ulemnoukogu_xii_koosseisu_ning_riigikogu_vii_viii_ja_ix_koosseis  severity=5  count=1
    kaitsevaeteenistuse_seaduse_rakendamise_seadus  severity=5  count=1
======================================================================

Coverage report: /Volumes/Molumalu/progemoge/law-ontology/krr_outputs/reports/kov/extract_sanctions_coverage.json
  input_files_total: 16061 (KOV: 11059)
  files_with_output: 291 (KOV: 81)
  triples_emitted (sanction records): 2589 (KOV: 84)

GATE OK
