source,target,predicate
estleg:ABIPOL_Par_16_1_Lg_9,estleg:KORS_Par_49,estleg:references
estleg:ABIPOL_Par_16_Lg_1,estleg:KORS_Par_28,estleg:references
estleg:ABIPOL_Par_16_Lg_2,estleg:KORS_Par_28,estleg:references
estleg:ABIPOL_Par_16_Lg_3,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_2_Lg_2,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_10,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_10_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_14,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_14_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_16_Lg_3,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_2_Lg_2,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_37_Lg_4,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_42_1_Lg_2,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_4_Lg_1_1,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_7_Lg_3_1,estleg:referencedBy
estleg:ABIPOL_Par_3,estleg:ABIPOL_Par_8_Lg_2,estleg:referencedBy
estleg:ABIPOL_Par_32,estleg:ABIPOL_Par_12,estleg:referencedBy
estleg:ABIPOL_Par_32,estleg:ABIPOL_Par_12_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_37_1,estleg:POLITS_Par_77,estleg:references
estleg:ABIPOL_Par_37_1_Lg_1,estleg:POLITS_Par_77,estleg:references
estleg:ABIPOL_Par_37_Lg_4,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_38,estleg:ABIPOL_Par_45_1,estleg:referencedBy
estleg:ABIPOL_Par_38,estleg:ABIPOL_Par_45_1_Lg_Unknown_1,estleg:referencedBy
