iri,provision,type,min,max,unit
estleg:Sanction_ABIPOL_Par_43_arrest,estleg:ABIPOL_Par_43,arrest,,30,days
estleg:Sanction_ABIPOL_Par_43_fine,estleg:ABIPOL_Par_43,fine,,300,fine_units
