iri,caseNumber,date,ecli,chamber
estleg:RK_3_18_1699_25,3-18-1699/25,2020-06-19,ECLI:EE:RK:2020:3.18.1699.25,Halduskolleegium
estleg:RK_3_18_1725_18,3-18-1725/18,2020-11-17,ECLI:EE:RK:2020:3.18.1725.18,Halduskolleegium
estleg:RK_3_18_1740_36,3-18-1740/36,2020-03-04,ECLI:EE:RK:2020:3.18.1740.36,Halduskolleegium
estleg:RK_3_18_1747_25,3-18-1747/25,2020-10-19,ECLI:EE:RK:2020:3.18.1747.25,Halduskolleegium
estleg:RK_3_18_1988_27,3-18-1988/27,2020-02-17,ECLI:EE:RK:2020:3.18.1988.27,Halduskolleegium
estleg:RK_3_18_1988_31,3-18-1988/31,2020-04-29,ECLI:EE:RK:2020:3.18.1988.31,Halduskolleegium
estleg:RK_3_18_207_35,3-18-207/35,2020-10-01,ECLI:EE:RK:2020:3.18.207.35,Halduskolleegium
estleg:RK_3_18_2099_20,3-18-2099/20,2020-12-09,ECLI:EE:RK:2020:3.18.2099.20,Halduskolleegium
estleg:RK_3_18_2351_39,3-18-2351/39,2020-02-06,ECLI:EE:RK:2020:3.18.2351.39,Halduskolleegium
estleg:RK_3_18_305_38,3-18-305/38,2020-09-29,ECLI:EE:RK:2020:3.18.305.38,Halduskolleegium
estleg:RK_3_18_360_41,3-18-360/41,2020-04-15,ECLI:EE:RK:2020:3.18.360.41,Halduskolleegium
estleg:RK_3_18_495_38,3-18-495/38,2020-03-02,ECLI:EE:RK:2020:3.18.495.38,Halduskolleegium
estleg:RK_3_18_529_137,3-18-529/137,2020-05-19,ECLI:EE:RK:2020:3.18.529.137,Halduskolleegium
estleg:RK_3_18_562_32,3-18-562/32,2020-06-19,ECLI:EE:RK:2020:3.18.562.32,Halduskolleegium
estleg:RK_3_18_81_28,3-18-81/28,2020-11-23,ECLI:EE:RK:2020:3.18.81.28,Halduskolleegium
estleg:RK_3_18_830_23,3-18-830/23,2020-08-11,ECLI:EE:RK:2020:3.18.830.23,Halduskolleegium
estleg:RK_3_18_853_59,3-18-853/59,2020-12-15,ECLI:EE:RK:2020:3.18.853.59,Halduskolleegium
estleg:RK_3_18_989_47,3-18-989/47,2020-05-12,ECLI:EE:RK:2020:3.18.989.47,Halduskolleegium
estleg:RK_3_19_1022_18,3-19-1022/18,2020-03-24,ECLI:EE:RK:2020:3.19.1022.18,Halduskolleegium
estleg:RK_3_19_104_22,3-19-104/22,2020-12-03,ECLI:EE:RK:2020:3.19.104.22,Halduskolleegium
estleg:RK_3_19_1068_39,3-19-1068/39,2020-04-17,ECLI:EE:RK:2020:3.19.1068.39,Halduskolleegium
estleg:RK_3_19_116_21,3-19-116/21,2020-07-03,ECLI:EE:RK:2020:3.19.116.21,Halduskolleegium
estleg:RK_3_19_1178_14,3-19-1178/14,2020-03-18,ECLI:EE:RK:2020:3.19.1178.14,Halduskolleegium
estleg:RK_3_19_1207_17,3-19-1207/17,2020-10-20,ECLI:EE:RK:2020:3.19.1207.17,Halduskolleegium
estleg:RK_3_19_1565_14,3-19-1565/14,2020-10-07,ECLI:EE:RK:2020:3.19.1565.14,Halduskolleegium
estleg:RK_3_19_1627_28,3-19-1627/28,2020-05-28,ECLI:EE:RK:2020:3.19.1627.28,Halduskolleegium
estleg:RK_3_19_1656_78,3-19-1656/78,2020-10-27,ECLI:EE:RK:2020:3.19.1656.78,Halduskolleegium
estleg:RK_3_19_1672_28,3-19-1672/28,2020-02-12,ECLI:EE:RK:2020:3.19.1672.28,Halduskolleegium
estleg:RK_3_19_1825_50,3-19-1825/50,2020-03-16,ECLI:EE:RK:2020:3.19.1825.50,Halduskolleegium
estleg:RK_3_19_1884_12,3-19-1884/12,2020-01-20,ECLI:EE:RK:2020:3.19.1884.12,Erikogu
estleg:RK_3_19_2221_22,3-19-2221/22,2020-03-05,ECLI:EE:RK:2020:3.19.2221.22,Halduskolleegium
estleg:RK_3_19_2255_16,3-19-2255/16,2020-10-13,ECLI:EE:RK:2020:3.19.2255.16,Halduskolleegium
estleg:RK_3_19_2347_7,3-19-2347/7,2020-04-23,ECLI:EE:RK:2020:3.19.2347.7,Erikogu
estleg:RK_3_19_2448_18,3-19-2448/18,2020-12-07,ECLI:EE:RK:2020:3.19.2448.18,Halduskolleegium
estleg:RK_3_19_882_22,3-19-882/22,2020-10-14,ECLI:EE:RK:2020:3.19.882.22,Halduskolleegium
estleg:RK_3_19_92_20,3-19-92/20,2020-11-18,ECLI:EE:RK:2020:3.19.92.20,Halduskolleegium
estleg:RK_3_19_990_28,3-19-990/28,2020-09-09,ECLI:EE:RK:2020:3.19.990.28,Halduskolleegium
estleg:RK_3_19_990_30,3-19-990/30,2020-11-05,ECLI:EE:RK:2020:3.19.990.30,Halduskolleegium
estleg:RK_3_20_1044_5,3-20-1044/5,2020-06-19,ECLI:EE:RK:2020:3.20.1044.5,Üldkogu
estleg:RK_3_20_1198_58,3-20-1198/58,2020-12-11,ECLI:EE:RK:2020:3.20.1198.58,Halduskolleegium
estleg:RK_3_20_17_11,3-20-17/11,2020-03-12,ECLI:EE:RK:2020:3.20.17.11,Erikogu
estleg:RK_3_20_349_51,3-20-349/51,2020-11-13,ECLI:EE:RK:2020:3.20.349.51,Halduskolleegium
estleg:RK_3_20_580_47,3-20-580/47,2020-10-28,ECLI:EE:RK:2020:3.20.580.47,Halduskolleegium
estleg:RK_3_20_605_61,3-20-605/61,2020-12-11,ECLI:EE:RK:2020:3.20.605.61,Halduskolleegium
estleg:RK_3_20_664_10,3-20-664/10,2020-10-15,ECLI:EE:RK:2020:3.20.664.10,Halduskolleegium
estleg:RK_3_20_718_28,3-20-718/28,2020-11-05,ECLI:EE:RK:2020:3.20.718.28,Halduskolleegium
estleg:RK_3_20_924_24,3-20-924/24,2020-11-04,ECLI:EE:RK:2020:3.20.924.24,Halduskolleegium
estleg:RK_4_18_4523_37,4-18-4523/37,2020-03-10,ECLI:EE:RK:2020:4.18.4523.37,Kriminaalkolleegium
estleg:RK_4_19_1132_31,4-19-1132/31,2020-01-13,ECLI:EE:RK:2020:4.19.1132.31,Kriminaalkolleegium
estleg:RK_4_19_1809_48,4-19-1809/48,2020-05-25,ECLI:EE:RK:2020:4.19.1809.48,Kriminaalkolleegium
estleg:RK_4_19_2526_19,4-19-2526/19,2020-03-17,ECLI:EE:RK:2020:4.19.2526.19,Kriminaalkolleegium
estleg:RK_4_19_3994_31,4-19-3994/31,2020-02-17,ECLI:EE:RK:2020:4.19.3994.31,Kriminaalkolleegium
estleg:RK_4_19_4092_26,4-19-4092/26,2020-05-28,ECLI:EE:RK:2020:4.19.4092.26,Kriminaalkolleegium
estleg:RK_4_19_4337_24,4-19-4337/24,2020-03-04,ECLI:EE:RK:2020:4.19.4337.24,Kriminaalkolleegium
estleg:RK_4_19_447_47,4-19-447/47,2020-04-27,ECLI:EE:RK:2020:4.19.447.47,Kriminaalkolleegium
estleg:RK_4_19_4632_23,4-19-4632/23,2020-05-04,ECLI:EE:RK:2020:4.19.4632.23,Kriminaalkolleegium
estleg:RK_4_20_1259_16,4-20-1259/16,2020-09-28,ECLI:EE:RK:2020:4.20.1259.16,Kriminaalkolleegium
estleg:RK_4_20_215_14,4-20-215/14,2020-06-25,ECLI:EE:RK:2020:4.20.215.14,Kriminaalkolleegium
estleg:RK_4_20_2705_20,4-20-2705/20,2020-12-15,ECLI:EE:RK:2020:4.20.2705.20,Kriminaalkolleegium
estleg:RK_4_20_758_27,4-20-758/27,2020-11-05,ECLI:EE:RK:2020:4.20.758.27,Kriminaalkolleegium
estleg:RK_5_18_5_33,5-18-5/33,2020-04-09,ECLI:EE:RK:2020:5.18.5.33,Üldkogu
estleg:RK_5_19_44_9,5-19-44/9,2020-02-04,ECLI:EE:RK:2020:5.19.44.9,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_19_45_9,5-19-45/9,2020-04-17,ECLI:EE:RK:2020:5.19.45.9,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_1_15,5-20-1/15,2020-05-05,ECLI:EE:RK:2020:5.20.1.15,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_2_11,5-20-2/11,2020-05-26,ECLI:EE:RK:2020:5.20.2.11,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_3_18,5-20-3/18,2020-06-09,ECLI:EE:RK:2020:5.20.3.18,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_3_43,5-20-3/43,2020-10-20,ECLI:EE:RK:2020:5.20.3.43,Üldkogu
estleg:RK_5_20_4_2,5-20-4/2,2020-05-12,ECLI:EE:RK:2020:5.20.4.2,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_5_10,5-20-5/10,2020-09-07,ECLI:EE:RK:2020:5.20.5.10,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_6_11,5-20-6/11,2020-12-22,ECLI:EE:RK:2020:5.20.6.11,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_8_2,5-20-8/2,2020-12-14,ECLI:EE:RK:2020:5.20.8.2,Põhiseaduslikkuse järelevalve kolleegium
estleg:RK_5_20_9_2,5-20-9/2,2020-12-22,ECLI:EE:RK:2020:5.20.9.2,Põhiseaduslikkuse järelevalve kolleegium
