iri,caseNumber,date,ecli,chamber
estleg:RK_1_19_4422_107,1-19-4422/107,2020-12-23,ECLI:EE:RK:2020:1.19.4422.107,Kriminaalkolleegium
estleg:RK_1_19_5146_52,1-19-5146/52,2020-05-14,ECLI:EE:RK:2020:1.19.5146.52,Kriminaalkolleegium
estleg:RK_1_19_5631_41,1-19-5631/41,2020-10-23,ECLI:EE:RK:2020:1.19.5631.41,Kriminaalkolleegium
estleg:RK_1_19_6227_27,1-19-6227/27,2020-02-27,ECLI:EE:RK:2020:1.19.6227.27,Kriminaalkolleegium
estleg:RK_1_19_6490_21,1-19-6490/21,2020-03-02,ECLI:EE:RK:2020:1.19.6490.21,Kriminaalkolleegium
estleg:RK_1_19_7121_38,1-19-7121/38,2020-05-05,ECLI:EE:RK:2020:1.19.7121.38,Kriminaalkolleegium
estleg:RK_1_19_7935_31,1-19-7935/31,2020-04-20,ECLI:EE:RK:2020:1.19.7935.31,Kriminaalkolleegium
estleg:RK_1_19_8007_33,1-19-8007/33,2020-10-13,ECLI:EE:RK:2020:1.19.8007.33,Kriminaalkolleegium
estleg:RK_1_19_8038_67,1-19-8038/67,2020-12-14,ECLI:EE:RK:2020:1.19.8038.67,Kriminaalkolleegium
estleg:RK_1_19_8262_17,1-19-8262/17,2020-04-16,ECLI:EE:RK:2020:1.19.8262.17,Kriminaalkolleegium
estleg:RK_1_19_8357_34,1-19-8357/34,2020-10-15,ECLI:EE:RK:2020:1.19.8357.34,Kriminaalkolleegium
estleg:RK_1_19_8757_33,1-19-8757/33,2020-10-06,ECLI:EE:RK:2020:1.19.8757.33,Kriminaalkolleegium
estleg:RK_1_19_8835_26,1-19-8835/26,2020-03-03,ECLI:EE:RK:2020:1.19.8835.26,Kriminaalkolleegium
estleg:RK_1_19_8852_13,1-19-8852/13,2020-06-12,ECLI:EE:RK:2020:1.19.8852.13,Kriminaalkolleegium
estleg:RK_1_19_9021_14,1-19-9021/14,2020-12-18,ECLI:EE:RK:2020:1.19.9021.14,Kriminaalkolleegium
estleg:RK_1_19_9448_32,1-19-9448/32,2020-03-13,ECLI:EE:RK:2020:1.19.9448.32,Kriminaalkolleegium
estleg:RK_1_19_9575_46,1-19-9575/46,2020-06-26,ECLI:EE:RK:2020:1.19.9575.46,Kriminaalkolleegium
estleg:RK_1_20_1149_34,1-20-1149/34,2020-09-17,ECLI:EE:RK:2020:1.20.1149.34,Kriminaalkolleegium
estleg:RK_1_20_1367_31,1-20-1367/31,2020-10-09,ECLI:EE:RK:2020:1.20.1367.31,Kriminaalkolleegium
estleg:RK_1_20_1975_28,1-20-1975/28,2020-11-30,ECLI:EE:RK:2020:1.20.1975.28,Kriminaalkolleegium
estleg:RK_1_20_2341_9,1-20-2341/9,2020-10-23,ECLI:EE:RK:2020:1.20.2341.9,Kriminaalkolleegium
estleg:RK_1_20_2476_18,1-20-2476/18,2020-10-15,ECLI:EE:RK:2020:1.20.2476.18,Kriminaalkolleegium
estleg:RK_1_20_252_9,1-20-252/9,2020-06-12,ECLI:EE:RK:2020:1.20.252.9,Kriminaalkolleegium
estleg:RK_1_20_2611_12,1-20-2611/12,2020-11-13,ECLI:EE:RK:2020:1.20.2611.12,Kriminaalkolleegium
estleg:RK_1_20_282_63,1-20-282/63,2020-09-29,ECLI:EE:RK:2020:1.20.282.63,Kriminaalkolleegium
estleg:RK_1_20_3925_21,1-20-3925/21,2020-12-23,ECLI:EE:RK:2020:1.20.3925.21,Kriminaalkolleegium
estleg:RK_1_20_3926_24,1-20-3926/24,2020-12-23,ECLI:EE:RK:2020:1.20.3926.24,Kriminaalkolleegium
estleg:RK_1_20_3927_22,1-20-3927/22,2020-12-23,ECLI:EE:RK:2020:1.20.3927.22,Kriminaalkolleegium
estleg:RK_1_20_4729_25,1-20-4729/25,2020-12-04,ECLI:EE:RK:2020:1.20.4729.25,Kriminaalkolleegium
estleg:RK_1_20_5036_28,1-20-5036/28,2020-09-24,ECLI:EE:RK:2020:1.20.5036.28,Kriminaalkolleegium
estleg:RK_1_20_79_9,1-20-79/9,2020-05-21,ECLI:EE:RK:2020:1.20.79.9,Kriminaalkolleegium
estleg:RK_2_08_1069_311,2-08-1069/311,2020-06-16,ECLI:EE:RK:2020:2.08.1069.311,Tsiviilkolleegium
estleg:RK_2_12_46735_185,2-12-46735/185,2020-01-15,ECLI:EE:RK:2020:2.12.46735.185,Tsiviilkolleegium
estleg:RK_2_13_70131_109,2-13-70131/109,2020-03-11,ECLI:EE:RK:2020:2.13.70131.109,Tsiviilkolleegium
estleg:RK_2_14_14536_153,2-14-14536/153,2020-02-05,ECLI:EE:RK:2020:2.14.14536.153,Tsiviilkolleegium
estleg:RK_2_14_52540_18,2-14-52540/18,2020-06-03,ECLI:EE:RK:2020:2.14.52540.18,Tsiviilkolleegium
estleg:RK_2_15_17699_113,2-15-17699/113,2020-05-15,ECLI:EE:RK:2020:2.15.17699.113,
estleg:RK_2_15_19525_58,2-15-19525/58,2020-06-03,ECLI:EE:RK:2020:2.15.19525.58,Tsiviilkolleegium
estleg:RK_2_15_505_180,2-15-505/180,2020-11-13,ECLI:EE:RK:2020:2.15.505.180,Tsiviilkolleegium
estleg:RK_2_15_505_181,2-15-505/181,2020-11-13,ECLI:EE:RK:2020:2.15.505.181,Tsiviilkolleegium
estleg:RK_2_15_7163_191,2-15-7163/191,2020-02-19,ECLI:EE:RK:2020:2.15.7163.191,Tsiviilkolleegium
estleg:RK_2_15_9117_149,2-15-9117/149,2020-01-13,ECLI:EE:RK:2020:2.15.9117.149,Tsiviilkolleegium
estleg:RK_2_15_9117_160,2-15-9117/160,2020-11-11,ECLI:EE:RK:2020:2.15.9117.160,Tsiviilkolleegium
estleg:RK_2_16_14152_67,2-16-14152/67,2020-03-31,ECLI:EE:RK:2020:2.16.14152.67,Tsiviilkolleegium
estleg:RK_2_16_14644_50,2-16-14644/50,2020-03-25,ECLI:EE:RK:2020:2.16.14644.50,Tsiviilkolleegium
estleg:RK_2_16_14960_61,2-16-14960/61,2020-02-14,ECLI:EE:RK:2020:2.16.14960.61,Tsiviilkolleegium
